--------- beginning of main
--------- beginning of system
08-05 02:09:16.469  9658 16016 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 02:10:08.930  9658 16045 D CustomInterceptor: HEADER RESPONSE
08-05 02:10:08.930  9658 16045 D CustomInterceptor: Accept-Ranges bytes
08-05 02:10:08.930  9658 16045 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:10:08.931  9658 16045 D CustomInterceptor: Content-Length 29813
08-05 02:10:08.931  9658 16045 D CustomInterceptor: Content-Type image/png
08-05 02:10:08.931  9658 16045 D CustomInterceptor: Date Wed, 05 Aug 2020 00:10:05 GMT
08-05 02:10:08.931  9658 16045 D CustomInterceptor: ETag "2e9f38d04b9c3543ab1afa639f10a12c"
08-05 02:10:08.931  9658 16045 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:15:08 GMT+00:00
08-05 02:10:08.931  9658 16045 D CustomInterceptor: Last-Modified Wed, 29 Jul 2020 17:00:47 GMT
08-05 02:10:08.931  9658 16045 D CustomInterceptor: Server AmazonS3
08-05 02:10:08.931  9658 16045 D CustomInterceptor: x-amz-id-2 OL1290teXyGdqC7U8Pd4WI2l/qcJduJfLqdzvTuawjyLutOOxSrnIh9z1S95KUSFXPgpquoSU8o=
08-05 02:10:08.931  9658 16045 D CustomInterceptor: x-amz-request-id E968082CFA096F97
08-05 02:10:08.931  9658 16045 D CustomInterceptor: CACHEABLE true
08-05 02:10:08.931  9658 16045 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/850543.png
08-05 02:10:08.931  9658 16045 D CustomInterceptor: REQ_SERV_BY net
08-05 02:10:08.931  9658 16045 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/850543.png
08-05 02:10:08.968  9658 16045 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:10:09.197  9658 16060 D CustomInterceptor: HEADER RESPONSE
08-05 02:10:09.197  9658 16060 D CustomInterceptor: access-control-allow-methods GET
08-05 02:10:09.197  9658 16060 D CustomInterceptor: access-control-allow-origin *
08-05 02:10:09.198  9658 16060 D CustomInterceptor: access-control-max-age 86400
08-05 02:10:09.198  9658 16060 D CustomInterceptor: cache-control max-age=315360000
08-05 02:10:09.198  9658 16060 D CustomInterceptor: content-disposition inline; filename="tumblr_58fdb3e3c1b2ba1306c2d1be0119460e_18a33520_1280.jpg"
08-05 02:10:09.198  9658 16060 D CustomInterceptor: content-length 117046
08-05 02:10:09.198  9658 16060 D CustomInterceptor: content-type image/jpeg
08-05 02:10:09.198  9658 16060 D CustomInterceptor: date Wed, 05 Aug 2020 00:10:05 GMT
08-05 02:10:09.198  9658 16060 D CustomInterceptor: etag "d8b4bf447e29532c2e4c3d94d13b9f69-1498089600-37c5a04"
08-05 02:10:09.198  9658 16060 D CustomInterceptor: last-modified Sat, 01 Aug 2020 15:41:37 GMT
08-05 02:10:09.198  9658 16060 D CustomInterceptor: server nginx
08-05 02:10:09.198  9658 16060 D CustomInterceptor: strict-transport-security max-age=31536000; preload
08-05 02:10:09.198  9658 16060 D CustomInterceptor: timing-allow-origin *
08-05 02:10:09.198  9658 16060 D CustomInterceptor: x-frames 1
08-05 02:10:09.198  9658 16060 D CustomInterceptor: x-nc MISS ams 4
08-05 02:10:09.198  9658 16060 D CustomInterceptor: CACHEABLE true
08-05 02:10:09.198  9658 16060 D CustomInterceptor: REQ https://64.media.tumblr.com/58fdb3e3c1b2ba1306c2d1be0119460e/75c91623ddb4dfe2-55/s1280x1920/18a33520ca63b4c9f1d09ba5a5eb6fab3b9c104d.jpg
08-05 02:10:09.198  9658 16060 D CustomInterceptor: REQ_SERV_BY net
08-05 02:10:09.198  9658 16060 D CustomInterceptor: PREFLIB Adding response to lrucache - https://64.media.tumblr.com/58fdb3e3c1b2ba1306c2d1be0119460e/75c91623ddb4dfe2-55/s1280x1920/18a33520ca63b4c9f1d09ba5a5eb6fab3b9c104d.jpg
08-05 02:10:09.247  9658 16060 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:10:09.350  9658 17375 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:10:09.351  9658 17375 D CustomInterceptor: HEADER RESPONSE
08-05 02:10:09.351  9658 17375 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:10:09.351  9658 17375 D CustomInterceptor: Connection close
08-05 02:10:09.351  9658 17375 D CustomInterceptor: Content-Type application/json
08-05 02:10:09.352  9658 17375 D CustomInterceptor: Date Wed, 05 Aug 2020 00:10:05 GMT
08-05 02:10:09.352  9658 17375 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:15:09 GMT+00:00
08-05 02:10:09.352  9658 17375 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:10:09.352  9658 17375 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:10:09.352  9658 17375 D CustomInterceptor: Transfer-Encoding chunked
08-05 02:10:09.352  9658 17375 D CustomInterceptor: Vary Cookie
08-05 02:10:09.352  9658 17375 D CustomInterceptor: X-gunicorn-server app04
08-05 02:10:09.352  9658 17375 D CustomInterceptor: X-Homer Kids, kids. I'm not going to die. That only happens to bad people.
08-05 02:10:09.352  9658 17375 D CustomInterceptor: CACHEABLE true
08-05 02:10:09.352  9658 17375 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all
08-05 02:10:09.352  9658 17375 D CustomInterceptor: REQ_SERV_BY net
08-05 02:10:09.352  9658 17375 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all
08-05 02:10:09.358  9658 17375 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:10:34.356  9658 17922 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:10:34.356  9658 17922 D CustomInterceptor: HEADER REQUEST
08-05 02:10:34.356  9658 17922 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:10:34.357  9658 17922 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:10:34.357  9658 17922 D CustomInterceptor: CACHED STATS: size = '22', maxSize = '100', hitCount = '32', createCount = '0', putCount = '29', evictionCount = '0', missCount = '32', toString = 'LruCache[maxSize=100,hits=32,misses=32,hitRate=50%]', 
08-05 02:10:34.357  9658 17922 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-05 02:10:34.937  9658 17922 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:10:34.937  9658 17922 D CustomInterceptor: HEADER RESPONSE
08-05 02:10:34.937  9658 17922 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:10:34.938  9658 17922 D CustomInterceptor: Connection close
08-05 02:10:34.938  9658 17922 D CustomInterceptor: Content-Type application/json
08-05 02:10:34.938  9658 17922 D CustomInterceptor: Date Wed, 05 Aug 2020 00:10:30 GMT
08-05 02:10:34.938  9658 17922 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:15:34 GMT+00:00
08-05 02:10:34.938  9658 17922 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:10:34.938  9658 17922 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:10:34.938  9658 17922 D CustomInterceptor: Transfer-Encoding chunked
08-05 02:10:34.938  9658 17922 D CustomInterceptor: Vary Cookie
08-05 02:10:34.938  9658 17922 D CustomInterceptor: X-gunicorn-server app03
08-05 02:10:34.938  9658 17922 D CustomInterceptor: X-Homer Weaseling out of things is important to learn. It's what separates us from the animals...except the weasel.
08-05 02:10:34.938  9658 17922 D CustomInterceptor: CACHEABLE true
08-05 02:10:34.938  9658 17922 D CustomInterceptor: REQ https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:10:34.938  9658 17922 D CustomInterceptor: REQ_SERV_BY net
08-05 02:10:34.952  9658 17922 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:10:34.952  9658 17922 D CustomInterceptor: HEADER REQUEST
08-05 02:10:34.952  9658 17922 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:10:34.952  9658 17922 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:10:34.952  9658 17922 D CustomInterceptor: CACHED STATS: size = '22', maxSize = '100', hitCount = '32', createCount = '0', putCount = '29', evictionCount = '0', missCount = '33', toString = 'LruCache[maxSize=100,hits=32,misses=33,hitRate=49%]', 
08-05 02:10:34.952  9658 17922 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-05 02:10:35.430  9658 17922 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:10:35.431  9658 17922 D CustomInterceptor: HEADER RESPONSE
08-05 02:10:35.432  9658 17922 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:10:35.432  9658 17922 D CustomInterceptor: Connection close
08-05 02:10:35.432  9658 17922 D CustomInterceptor: Content-Type application/json
08-05 02:10:35.432  9658 17922 D CustomInterceptor: Date Wed, 05 Aug 2020 00:10:31 GMT
08-05 02:10:35.432  9658 17922 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:15:35 GMT+00:00
08-05 02:10:35.432  9658 17922 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:10:35.432  9658 17922 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:10:35.432  9658 17922 D CustomInterceptor: Transfer-Encoding chunked
08-05 02:10:35.432  9658 17922 D CustomInterceptor: Vary Cookie
08-05 02:10:35.432  9658 17922 D CustomInterceptor: X-gunicorn-server app03
08-05 02:10:35.432  9658 17922 D CustomInterceptor: X-Homer Weaseling out of things is important to learn. It's what separates us from the animals...except the weasel.
08-05 02:10:35.433  9658 17922 D CustomInterceptor: CACHEABLE true
08-05 02:10:35.433  9658 17922 D CustomInterceptor: REQ https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:10:35.433  9658 17922 D CustomInterceptor: REQ_SERV_BY net
08-05 02:10:40.427  9658 18055 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feed_unread_count?feed_id=5762506
08-05 02:10:40.428  9658 18055 D CustomInterceptor: HEADER REQUEST
08-05 02:10:40.428  9658 18055 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:10:40.428  9658 18055 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:10:40.428  9658 18055 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 02:10:40.428  9658 18055 D CustomInterceptor: CACHED STATS: size = '22', maxSize = '100', hitCount = '32', createCount = '0', putCount = '29', evictionCount = '0', missCount = '34', toString = 'LruCache[maxSize=100,hits=32,misses=34,hitRate=48%]', 
08-05 02:10:40.428  9658 18055 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:10:40.984  9658 18055 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:10:40.986  9658 18055 D CustomInterceptor: HEADER RESPONSE
08-05 02:10:40.986  9658 18055 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:10:40.986  9658 18055 D CustomInterceptor: Connection close
08-05 02:10:40.986  9658 18055 D CustomInterceptor: Content-Type application/json
08-05 02:10:40.986  9658 18055 D CustomInterceptor: Date Wed, 05 Aug 2020 00:10:36 GMT
08-05 02:10:40.986  9658 18055 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:15:40 GMT+00:00
08-05 02:10:40.986  9658 18055 D CustomInterceptor: Last-Modified Wed, 05 Aug 2020 00:10:36 GMT
08-05 02:10:40.987  9658 18055 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:10:40.987  9658 18055 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:10:40.987  9658 18055 D CustomInterceptor: Transfer-Encoding chunked
08-05 02:10:40.987  9658 18055 D CustomInterceptor: Vary Cookie
08-05 02:10:40.987  9658 18055 D CustomInterceptor: X-gunicorn-server app26
08-05 02:10:40.987  9658 18055 D CustomInterceptor: X-Sideshow-Bob Attempted murder? Now honestly, what is that? Do they give a Nobel Prize for attempted chemistry?
08-05 02:10:40.987  9658 18055 D CustomInterceptor: CACHEABLE true
08-05 02:10:40.987  9658 18055 D CustomInterceptor: REQ https://www.newsblur.com/reader/feed_unread_count?feed_id=5762506
08-05 02:10:40.987  9658 18055 D CustomInterceptor: REQ_SERV_BY net
08-05 02:10:40.987  9658 18055 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feed_unread_count?feed_id=5762506
08-05 02:10:40.990  9658 18055 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:10:42.609  9658 16833 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:10:42.610  9658 16833 D CustomInterceptor: HEADER REQUEST
08-05 02:10:42.610  9658 16833 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:10:42.610  9658 16833 D CustomInterceptor: CACHED STATS: size = '23', maxSize = '100', hitCount = '33', createCount = '0', putCount = '30', evictionCount = '0', missCount = '35', toString = 'LruCache[maxSize=100,hits=33,misses=35,hitRate=48%]', 
08-05 02:10:42.611  9658 16833 D CustomInterceptor: PREFLIB GET REQUEST http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:10:42.611  9658 16833 D CustomInterceptor: PREFLIB found http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs, sending it back
08-05 02:10:42.611  9658 16833 D CustomInterceptor: CONTENT GIF89aÀ€À€ï¿½À€À€ï¿½ï¿½ï¿½À€À€À€!ï¿½À€À€À€À€,À€À€À€À€À€À€À€DÀ€;
08-05 02:10:42.611  9658 16833 D CustomInterceptor: interceptor_finished : return_type #2 : request served from cache
